ID,Text,Star
236631,1 questions_Updating problem pls remove Answer+ removed thanks Google,1
236638,BEWARE: THIS IS A HUGE SELLOUT 4 EVERYONE W/ATT/CNN/MSNBC/ MICROSOFT/CCP/DEMO-RATS/STUPID OLD RHINOS & MUCH MORE SINCE THEY'RE PUSH THE AD'S THAT I'VE EVER SEEN IN MY LIFE FROM THE START OF THE FIRST 💯% PUSHIN THEY'RE NARRATIVES CNN BS DOWN OUR THROATS & AD'S THAT I'VE EVER SEEN N MY LIFE FROM FIRST CELL PHONE COMPANY 2 THESE SELLOUTS OF ATT THAN I'VE NEVER HAD THIS PROBLEM W/EITHER ONE OF THEIR MUCH BETTER COMPETITION OF VERIZON OR SPRINT MOBILE! STOP SELLIN US OUT ASAP ATT I'LL GO! #WWG1WGA,1
255703,"Doesn't update, vulnerable to cyber flaws, poor security, transfer your history, exposes your searches to hackers, essentially every internet search engine is vulnerable, likely a religious group. Even though the search is secure, if people don't like you, or what you are viewing online, hackers essentially just break the law and think they can black mail a person or businesses, identify theft happens, due to hackers. I would suggest checking to make sure dish networks are secure.",1
255710,Unable to update google chrome. Whenever new update comes in my play store .dont know why???,1
255735,This update for Google Chrome doesn't work. How can we clear this supposed update from the cell phone?,1
255779,"Remove the option of ""Close all tabs"" from the menu.. or atleast move it some place where I can't accidentally click it.",1
269394,Can't update Any ideas please,1
269404,"Still regressing. The discovery articles are trash, again. Still can't swipe away, now get suggestions that sometimes a year old, and now there's not even a more option at the bottom or anyway to refresh them. Thanks dumbasses",1
269438,It just won't update no matter what I do like it will not download the updates at all,1
269440,The App very good,1
278881,good app,1
278900,"Hi, I am having a problem with latest update. I can't upload files on my samsung tab s6 lite. Every time I am trying to open a file browser for upload it closes. I tried to do it with opera and Firefox and it works with them perfectly.",1
278944,Literally unusable. I got to bed to wake up to 40 tabs opened about virus alerts and malware attacks. Who has other good browser recommends.,1
278953,I m not uble to update my....chrome don't no why...but I m not able to click on update button. Till today I m not able to update my google chrom app,1
303334,don't like a new update at alllllll please change it back to old one,1
303386,I want to opening it,1
312901,It updates itself continuosly on one click to update it never stops updating .. and on pausing a file from downloading for long i am not able to continue downloading...it stops downloading .,1
312913,i am not able to update pls fix it,1
312930,Please Google remove your update why are you giving updates while update not working..,1
312953,😄😃☺😉😁😌 Good Luck To U 🎄,1
312978,Thx for the tabs,1
312995,Taking Huge space,1
325675,"Drains battery like crazy, updates are buggy.",1
325678,"Please give me an option to remove the tab groups and go back to previous UX with one list. You just made my life way much more complex, i cannot find the tabs i need...",1
325679,4th Feb update 😖☠ i liked that grouping tab and all. If there are some changes there should be a way to enable disable features☠,1
325685,"Why the phuck can I not go to bookmarks anymore, this app is becoming a laughing stock",1
325696,I can't updated this app pls help us,1
325719,Free mb,1
325737,I am unable update crome in play store.not sure reason. Please help me to fix the issue.,1
325744,"Does not update, automatically or manually. I've tried every which way to do this. Also noticed that lately, the browser is slow, and many images don't appear! Perhaps the update would fix this...except well, itv went update!",1
325749,Best,1
341734,New tab system is annoying. Please enable duet chrome tab again. Please ! Also please stop changing the UI again and again.,1
341754,Pop ups are like a virus with chrome,1
341777,"I am happy with the simplicity of this app, but it trakes and keeps all user's data. And now, I don't know why but I am unable to update the app using Google Play Store. Please try fixing this bug as earliest of possible and let user have some privacy and don't play with users' centiments.",1
341794,"Does not update, Galaxy S20 FE. It would be nice if the update was properly tested before it is placed for users to use. Otherwise, I started to think that we get one more mICROSOFT instead of Google",1
341820,This page uses too much memory so chrome removed some content Annoying more than useful ease fix it,1
348952,Guys pls developers help me my chrome is not working and my Google too. Its bot getting updated and also not doing any searches only blank pages,1
348953,It's complicated...on purpose I'm sure ....a little awareness as to where we ought to be setting our phones would be very much appreciated?!,1
349008,Ok,1
349009,Won't update via Google Play. Thought issue was specific to Huawei phones but it's also the same for my samsung s21 ultra...,1
349012,Poco m3 not getting update plz solve it,1
369115,Dont like it im getting ads/promotions I didnt ask for.and i cant delite them bad very bad.,1
369119,"Rubbish... Don't bother.... won't install the update...not worth the hassle of clearing cache, switching off phone or dancing naked round a chocolate toffee in the pouring rain....JUST FIX THE UPDATE SO YOU DON'T HAVE TO KEEP MESSING AROUND....",1
369163,Screwed up! It's constantly signing me out. Calling this app 💩 is being generous,1
369182,Please stop sending messages that contain ad,1
390934,"I want to update this app but that's didn't happen, I have infinix hot 9 pro mobile, please how to update this app, tell me",1
390951,Good,1
390954,Not updating.. How can i solve this issues please help🙏,1
390963,Any page that found that may help when I open the page it's a sorry this page cannot be Found. Not a lot of help,1
390965,Please check the update,1
390993,Super,1
392798,New update is super annoying with recent tabs. Please give an option for both. A tab within a tab? Tabception. Uninstalling and getting the old version. This is garbage and not user friendly in the least bit. Amazing that a multi billion dollar company put this out,1
392799,Nice,1
392813,When I am trying to update the app it isn't working plz zzz fix this,1
392816,Releasing date update show date is different (ex - 4 February release but play store show 10 February ) very 😠😡😡,1
419456,Won't update same problem consistently never fixed,1
419482,I am unable to update the chrome kindly look into it and help me sorting out this,1
419492,"I FIND IT VERY DIFFICULT UPDATING MY GOOGLE CHROME, PLEASE HELP. IT KEEPS SPOOLING AND NO RESULT",1
429714,Plz ur the app does not update even if u try does not update why,1
429735,This app not updating on my phone. So tell me that how I am updating this app .. Thanks,1
429741,Ok,1
429748,Thise app good and i love it but i gave 1star because when i download any movie it take many time.,1
444274,Takes 5 ever but it's having help right L S,1
444291,There are many glitches and it is not updating fix these glitches please,1
444303,Super,1
444308,Ok,1
444320,Why I can't update? I have tried the link given but the result still the same. Is it okay for me NOT to update? Will it effect the Chrome performance?,1
444331,If I update a chrome its updated but I open and use chrome it asking me to update but I updated the chrome I using chrome in samsung tablet version 4.1.2 please solve my issue please my tab samsung tab 3,1
444335,good,1
444344,Always freezes and I don't support those who need with free speech,1
462138,Bilkul bakar ha apps bhout jaldi ya apps hank karne lagta ha aoor ubdate Kar rha hu to ubdate bhi nhi ho rha ha,1
462142,Nice app for us guys 2,1
462192,Very useful for me keep using guys good app !!!,1
462219,Unable to update Chrome app please find and fixed,1
476345,Better,1
476327,It is very nice application the application developer unless you delete them,1
476331,"This was good but the newest update makes way harder to navigate. By like why did you remove the ""open in new tab"" it was so useful and now these groups make it harder to browse.",1
476349,Not working. Worst update for mobile devices,1
476353,If it's not broken don't change it. Who thought it would be a good idea to change the tabs view option? I hate it! At least give me the option to bring it back!,1
476360,Thanks Best Western Union Bank LTD for you and broth and Jell-O salad for lunch tomorrow,1
476364,The mandatory new grouping is not comfortable.. should have left newtab option with multiple windows.. pls let me know how to revert back to old version,1
476371,Good,1
476376,Ok,1
476399,Please remove the group tab feature,1
476404,"When playing games 3hours my phone not get heated but using Chrome for using 30minutes its heat up my phone fastly, drain battery fastly",1
476412,Card view was much better! I definitely need it to be returned,1
482343,I can't update it plz help me out,1
482363,I can't able to update my Google chrome please I need help asap,1
482364,Very good,1
482374,You sent me a corrupt email by linking it to my new third phone and I lost my internet. Can't make calls. It's dropping calls more now so I know I am about to loss another phone. I have repeatedly asked you for help. Erasing my email won't fix it either. Because I have tried. I have bought three phones only to have you send me link to to a hacker. Plus they got into my bank. Thanks.,1
482384,App will not update. Terrible interface. Honestly one of the worst browsers in existence.,1
482390,Chrome is not updating in my note 7 Pro pls repair the issue,1
504385,"I am having problems with the app not loading website and I am getting messages that, Chrome has crashed. I have never had a problem with Chrome before. I will change the star reviews onelce the problem gets fixed",1
504417,Good,1
504427,please fix the tabs. I hate the new tabs. Better give back the old tabs:),1
504460,Previous version was much better,1
504473,It doesn't update.. Worst experience...,1
510972,"I'm unable to get it to update on or off wifi for months on my new, fully activated an LG Velvet! All I get is a rotating, pending updates circle wheel each time I have tried! It says pending up top and has a grayed out open button that read update prior to tapping it. (I am using my phone in Dark Mode when and where it can apply it). The button was next to a still pressable cancel button! I get infinite loop tapping the red update line in the righthand browser menu in Chrome or via store! Help!",1
510979,Not able to update the app from play store 😔,1
511038,No good,1
511046,Video autoplay for sites like Twitter are messed up. Getting a blank white screen unless I switch to fill screen.,1
527938,good,1
527946,I have looked out on my phone as a security I came with the phone and it came up and gave me a red flag saying that Chrome is a vulnerability fix immediately it's the only one that said that about so I'm deleting my Chrome I'm using brave now,1
527965,Man o man am I ever glad I didn't update this app . After reading the reviews I have realized it would not be a good idea to update it. So for now I'm going to stick with the previous version. One would assume that the smart people at Google would do a bit more research before fixing something that isn't broke. For the most part Google has been pretty good for me so I hope the next update will be a little more thought out and have a lot more positive reviews because this one had practically none,1
527976,Very nice 👌👌😊👌👌👌👌👌👌👌👌👌👌👌👌 you have you,1
527986,"I don't know why there is a need to update a thing that's worling totally fine. I am on a tablet and the chrome works really bad after the update. I got a tip for those who *accidently* updated chrome. Uninstall it and then don't update again And for the people with pc browser, use Brave browser, it is really nice working browser better than chrome nowadays. (No promo) And this is for the devs,🖕",1
527991,No se ha dejado descargar,1
528001,Whoever approved the new UI changes definitely forgot to check UX. 0 rating on the New UX.,1
528009,Google is always safe,1
528010,This update sucks! You keep messing with my tabs!! Don't want to group tabs in a box!! Like the roll or swipe tabs better. I know where my stuff at. Fix it or I'll disable this browser!!!! NOT HAPPY...,1
548489,"Why it's not updating from play store ??? Also why it's not removing or deleting ??? Dear team, Plz sort out otherwise I will give zero rating",1
548491,"Worked just as desired until the update that forced tab groups. I don't want or need groups, so please give us the option of doing this instead of forcing it on us. At least give me the option to open a link into the same tab group. Why does it only give the option to open in a new group?! Google chrome? More like Google fail. Looks like it's back to Firefox until this gets resolved again.",1
548492,I am unable to update it ..tried many times but same result .kindly help me out,1
548493,God is grt,1
548502,"Buggy as of Feb 2021. Many sites don't work or the app freezes. Took away desktop mode before you ask for a web page when adding a new tab so sites send you to Google play store and they don't give you a chance to use them in desktop mode, New bugs especially in page organizing functions. If they fix all the recent bugs created in the past 2 months & had the ability to save websites to view later or open in the background like Firefox it would get 5 stars",1
548508,"Grouped tabs on a phone, I love having to squint to see what used to be easy to flip between. And no way to turn it off.",1
548515,My app has simply refused to update. I press the update button and it does nothing . So I guess injyst disable and use a different browser? Very sad because I live Chrome. But I've been unable to update for the past 4 devices.. what gives? Please help. Thanks,1
556586,It keeps telling me I have an update but will not update no matter how many times I try and it is messing with my phone. Please fix this.,1
556590,Absolutely nothing loads. I lost everything I was searching for and had saved. It force quits whenever I open it. I tried uninstalling the update and restarting and it's still garbage.,1
556647,Always frozen... I've clear app cache and data about 20 times but search something in the address bar it is still frozen...,1
556668,"Nevermind my issue was not fixed with recent update; still reloads last page after starting a new search. The change to the tabs section is what's preventing 5, stars, like grouped tabs, are people gonna open like 6 groups of 10 tabs each with a different category? I just wish I could switch that back it's just useless and annoying but looks like I gotta switch browsers instead 🤷 opera here I come least there I don't have to see celebrity gossip labeled as ""news""",1
569871,My phones no sure,1
569913,Went from amazing to garbage. After the last update it will no longer refresh or load any relevant news. Just a few repetitive junk news articles. Please fix this garbage update.,1
